,name,city,state,Lat,Lng
214,Texian Brewing Co.,Richmond, TX,,
215,Orpheus Brewing,Atlanta, GA,,
216,Forgotten Boardwalk,Cherry Hill, NJ,,
217,Laughing Dog Brewing Company,Ponderay, ID,,
218,Bozeman Brewing Company,Bozeman, MT,,
219,Big Choice Brewing,Broomfield, CO,,
220,Big Storm Brewing Company,Odessa, FL,,
221,Carton Brewing Company,Atlantic Highlands, NJ,,
222,Midnight Sun Brewing Company,Anchorage, AK,,
223,Fat Head's Brewery,Middleburg Heights, OH,,
224,Refuge Brewery,Temecula, CA,,
225,Chatham Brewing,Chatham, NY,,
226,DC Brau Brewing Company,Washington, DC,,
227,Geneva Lake Brewing Company,Lake Geneva, WI,,
228,Rochester Mills Brewing Company,Rochester, MI,,
229,Cape Ann Brewing Company,Gloucester, MA,,
230,Borderlands Brewing Company,Tucson, AZ,,
231,College Street Brewhouse and Pub,Lake Havasu City, AZ,,
232,Joseph James Brewing Company,Henderson, NV,,
233,Harpoon Brewery,Boston, MA,,
234,Back East Brewing Company,Bloomfield, CT,,
235,Champion Brewing Company,Charlottesville, VA,,
236,Devil's Backbone Brewing Company,Lexington, VA,,
237,Newburgh Brewing Company,Newburgh, NY,,
238,Wiseacre Brewing Company,Memphis, TN,,
239,Golden Road Brewing,Los Angeles, CA,,
240,New Republic Brewing Company,College Station, TX,,
241,Infamous Brewing Company,Austin, TX,,
242,Two Henrys Brewing Company,Plant City, FL,,
243,Lift Bridge Brewing Company,Stillwater, MN,,
244,Lucky Town Brewing Company,Jackson, MS,,
245,Quest Brewing Company,Greenville, SC,,
246,Creature Comforts,Athens, GA,,
247,Half Full Brewery,Stamford, CT,,
248,Southampton Publick House,Southampton, NY,,
249,Chapman's Brewing,Angola, IN,,
250,Barrio Brewing Company,Tucson, AZ,,
251,Santa Cruz Mountain Brewing,Santa Cruz, CA,,
252,Frankenmuth Brewery,Frankenmuth, MI,,
253,Meckley's Cidery,Somerset Center, MI,,
254,Stillwater Artisanal Ales,Baltimore, MD,,
255,Finch's Beer Company,Chicago, IL,,
256,South Austin Brewery,South Austin, TX,,
257,Bauhaus Brew Labs,Minneapolis, MN,,
258,Ozark Beer Company,Rogers, AR,,
259,Mountain Town Brewing Company ,Mount Pleasant, MI,,
260,Otter Creek Brewing,Waterbury, VT,,
261,The Brewer's Art,Baltimore, MD,,
262,Denver Beer Company,Denver, CO,,
263,Ska Brewing Company,Durango, CO,,
264,Tractor Brewing Company,Albuquerque, NM,,
265,Peak Organic Brewing Company,Portland, ME,,
266,Cape Cod Beer,Hyannis, MA,,
267,Long Trail Brewing Company,Bridgewater Corners, VT,,
268,Great Raft Brewing Company,Shreveport, LA,,
269,Alaskan Brewing Company,Juneau, AK,,
270,Notch Brewing Company,Ipswich, MA,,
271,The Alchemist,Waterbury, VT,,
272,Three Notch'd Brewing Company,Charlottesville, VA,,
273,Portside Brewery,Cleveland, OH,,
274,Otter Creek Brewing,Middlebury, VT,,
275,Montauk Brewing Company,Montauk, NY,,
276,Indeed Brewing Company,Minneapolis, MN,,
277,Berkshire Brewing Company,South Deerfield, MA,,
278,Foolproof Brewing Company,Pawtucket, RI,,
279,Headlands Brewing Company,Mill Valley, CA,,
280,Bolero Snort Brewery,Ridgefield Park, NJ,,
281,Thunderhead Brewing Company,Kearney, NE,,
282,Defiance Brewing Company,Hays, KS,,
283,Milwaukee Brewing Company,Milwaukee, WI,,
284,Catawba Island Brewing,Port Clinton, OH,,
285,Back Forty Beer Company,Gadsden, AL,,
286,Four Corners Brewing Company,Dallas, TX,,
287,Saint Archer Brewery,San Diego, CA,,
288,Rogue Ales,Newport, OR,,
289,Hale's Ales,Seattle, WA,,
290,Tommyknocker Brewery,Idaho Springs, CO,,
291,Baxter Brewing Company,Lewiston, ME,,
292,Northampton Brewery,Northamtpon, MA,,
293,Black Shirt Brewing Company,Denver, CO,,
294,Wachusett Brewing Company,Westminster, MA,,
295,Widmer Brothers Brewing Company,Portland, OR,,
